Feature,KRR,RF,XGBoost,Ensemble-OOF
Solvent 1,0.21382479957664363,0.278761952626608,0.21492447431046485,0.2218997920887551
Solvent 2,0.1960994849280841,0.17866099269185315,0.3399934064609478,0.2871654382675727
Ratio,0.19833425819511621,0.20634131865564537,0.3307431917712252,0.26442917046714154
Temperature,0.04810232611360191,0.10996469120906946,0.06099024203442117,0.08044685017322772
Time,0.34363913118655415,0.22627104481682392,0.053348685422941,0.14605874900330293
