iteration,sigma,lambda,mae
0,5.12,0.001,0.033546949834668965
1,5.12,0.001,0.04081385260837653
2,10.24,0.001,0.03415696083863671
3,10.24,0.001,0.03508507307612369
4,10.24,0.001,0.03267379908675353
5,10.24,0.001,0.033676171184624216
6,5.12,1e-11,0.033967120507276266
7,10.24,0.001,0.037623662494245966
8,10.24,1e-05,0.035215624677076444
9,5.12,0.001,0.05480702314080066
