iteration,sigma,lambda,mae
0,10.24,0.001,0.04121164758661637
1,40.96,0.001,0.05094612775080908
2,20.48,0.001,0.05403849079995127
3,20.48,0.001,0.031349326857103704
4,20.48,0.001,0.03691807937908455
5,40.96,0.001,0.04934399556274554
6,20.48,0.001,0.04345916289508249
7,20.48,0.001,0.04813662343245376
8,5.12,0.001,0.04747224194991415
9,20.48,0.001,0.030842920277072926
