iteration,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,mae
0,0.8,0.1,3,300,1.0,0.04081941980448636
1,1.0,0.2,7,300,1.0,0.04112254987467419
2,0.8,0.2,3,200,1.0,0.04029539397494359
3,0.8,0.2,5,100,0.8,0.03571199469518931
4,1.0,0.1,5,200,0.8,0.03355892637775025
5,0.8,0.2,3,200,0.8,0.04143286949518052
6,0.8,0.1,3,300,1.0,0.03795232029773972
7,1.0,0.2,3,200,1.0,0.040832174987142734
8,1.0,0.2,3,300,1.0,0.04314527141451836
9,1.0,0.2,3,200,1.0,0.032072349150614306
