time [min/hours],Temperature [degC],solvent 1,ratio,solvent 2,Al,Co,Li,Mn,Ni
60,40,1.25,15,0.02,0.0,0.3581124131298515,0.27680182384335256,0.15843497630707676,0.18990363114272585
60,40,1.25,15,0.04,0.0,0.6594582469261392,0.5975719209448338,0.49732227221568354,0.5517084779754884
60,40,1.25,15,0.06,0.0,0.7006208083986954,0.6804180093278297,0.586674254350359,0.6397470302659684
60,40,1.25,15,0.08,0.0,0.7219878886716095,0.7032749501498329,0.6106273800462211,0.6797616680589477
60,40,1.25,15,0.15,0.0,0.6590916048773235,0.6420088520004353,0.5574323146018206,0.6205439395380826
60,40,1.25,20,0.0,0.0,0.23553154474815793,0.1693350909979102,0.04967857515535663,0.08293377602002668
60,40,1.25,20,0.02,0.0,0.24174574156162906,0.17380277953624487,0.050989280452866846,0.08512187701188197
60,40,1.25,20,0.04,0.0,0.5457785527168508,0.49803796267481143,0.39364326775364983,0.45119933269165496
60,40,1.25,20,0.06,0.0,0.591009509616778,0.5853795809740838,0.4876748214341681,0.5438376421807896
60,40,1.25,20,0.08,0.0,0.6159708435095957,0.6114753145297044,0.5149426521228285,0.5874312464076666
60,40,1.25,20,0.15,0.0,0.5623102799596075,0.5582063809100218,0.47008320268623643,0.5362569220687091
60,40,1.25,25,0.0,0.0,0.08283948526823075,0.00781518082192882,0.0,0.0
60,40,1.25,25,0.02,0.0,0.08502509851987756,0.008021374314224408,0.0,0.0
60,40,1.25,25,0.04,0.0,0.37916587482775216,0.32170004502197375,0.2648568863273512,0.2720981957146373
60,40,1.25,25,0.06,0.0,0.427533493788725,0.4116375597987086,0.36018450902924487,0.3673242720285535
60,40,1.25,25,0.08,0.0,0.45592042189549525,0.4414036383047772,0.3899596684228505,0.4143416748970061
60,40,1.25,25,0.15,0.0,0.41620271929537206,0.4029505715175629,0.35598816508006886,0.378246122629408
60,40,1.25,30,0.0,0.0,0.0,0.0,0.0,0.0
60,40,1.25,30,0.02,0.0,0.0,0.0,0.0,0.0
60,40,1.25,30,0.04,0.0,0.21732700482155073,0.19583192190331153,0.09152741548750362,0.13803055647379245
60,40,1.25,30,0.06,0.0,0.26873074223174526,0.28710544568864477,0.18933507289408807,0.2347257859934992
60,40,1.25,30,0.08,0.0,0.300438157496036,0.3192922953550874,0.22274701996298463,0.28405967148499345
60,40,1.25,30,0.15,0.0,0.2742653588757273,0.2914770104492172,0.2033423180258255,0.25931369168039015
60,40,1.5,10,0.0,0.0,0.4168482847402472,0.31855681138108943,0.20290273778255138,0.22440428861766712
60,40,1.5,10,0.02,0.0,0.42784629048721207,0.3269615230485264,0.20825606549889594,0.2303249070925538
60,40,1.5,10,0.04,0.0,0.7216830795717641,0.6390153074645604,0.5377378359296856,0.5817688154485119
60,40,1.5,10,0.06,0.0,0.7593848382807685,0.7176507027880866,0.6227797102089404,0.6657607368122228
60,40,1.5,10,0.08,0.017503866759665386,0.777980197555916,0.7382583121897852,0.6445545509014643,0.7032983910011303
60,40,1.5,10,0.15,0.015979009918594675,0.7102061198191761,0.6739446234900867,0.5884039054536742,0.6420302507919365
60,40,1.5,15,0.0,0.0,0.3885735471444548,0.30443624491097554,0.18623563327924375,0.20519754347475117
60,40,1.5,15,0.02,0.0,0.3988255603134081,0.3124684035971934,0.19114922088430883,0.21061141668717506
60,40,1.5,15,0.04,0.0,0.6974694468540912,0.6301243734483835,0.5265697242089808,0.5683469652883397
60,40,1.5,15,0.06,0.0,0.7369031200386789,0.7108632369475205,0.6138486119043054,0.6546354486082993
60,40,1.5,15,0.08,0.0,0.7568281487169642,0.7324156160904437,0.6365982478867572,0.6935369856847814
60,40,1.5,15,0.15,0.0,0.6908967407638701,0.6686109163609838,0.5811407191798653,0.6331192144757277
60,40,1.5,20,0.0,0.0,0.27753618922409945,0.20613721949988892,0.0835741473403808,0.1048750490686445
60,40,1.5,20,0.02,0.0,0.2848586245460353,0.21157588485541645,0.08577914370572436,0.10764204232396955
60,40,1.5,20,0.04,0.0,0.5861783252663624,0.5326725381605601,0.4249357010134201,0.4696069816104956
60,40,1.5,20,0.06,0.0,0.6296041666570807,0.6178283522158586,0.5168155331827783,0.5604236635571836
60,40,1.5,20,0.08,0.0,0.6530539620013429,0.6425577274138257,0.5428193686013842,0.6028461237406959
60,40,1.5,20,0.15,0.0,0.5961628867194566,0.5865810360984245,0.49553142708283987,0.5503289257682322
60,40,1.5,25,0.0,0.0,0.12594804326638853,0.045952612703535345,0.0,0.0
60,40,1.5,25,0.02,0.0,0.1292710203647078,0.04716501327491282,0.0,0.0
60,40,1.5,25,0.04,0.0,0.42080305713174027,0.35782129446654465,0.2971116102844158,0.2923538415967408
60,40,1.5,25,0.06,0.0,0.4673485800899786,0.4455598466252364,0.3902888350969209,0.38573686804578555
60,40,1.5,25,0.08,0.0,0.4942026448389051,0.4739319838830035,0.4187851884514352,0.43155057942442954
60,40,1.5,25,0.15,0.0,0.45114997000959695,0.4326451963548275,0.3823025375995515,0.39395586607678107
60,40,1.5,30,0.0,0.0,0.0,0.0,0.0,0.0
60,40,1.5,30,0.02,0.0,0.0,0.0,0.0,0.0
60,40,1.5,30,0.04,0.0,0.2601575958711521,0.23280231358720657,0.12533427032039698,0.15956069664163694
60,40,1.5,30,0.06,0.0,0.3097231010586497,0.32187961980369045,0.22097718727660828,0.25440569169162536
60,40,1.5,30,0.08,0.0,0.33987724319604945,0.3526607254864728,0.25308056547105545,0.3025174358069051
60,40,1.5,30,0.15,0.0,0.31026869175260063,0.32193853551441254,0.231033343739984,0.27616349996701206
60,40,2.0,10,0.0,0.0,0.5981213408089502,0.5171410777483189,0.40770389681254776,0.43289159108266434
60,40,2.0,10,0.02,0.0,0.6139020029452873,0.5307851798191969,0.4184606396476262,0.44431287882888454
60,40,2.0,10,0.04,0.061608019564170946,0.9053845772970317,0.8404168360296187,0.7451601321153345,0.7925247486502269
60,40,2.0,10,0.06,0.03002990564748827,0.936918184330515,0.9114314961762944,0.8223287439728673,0.8685556098489002
60,40,2.0,10,0.08,0.09526377719158252,0.949970174769286,0.926053938756857,0.8380028262280333,0.8994754778412414
60,40,2.0,10,0.15,0.08696483248687663,0.8672131165888038,0.8453803537081653,0.7649998515163182,0.8211172867857214
60,40,2.0,15,0.0,0.0,0.5743600506286337,0.5074617182265437,0.3956074404119181,0.4184043806507094
60,40,2.0,15,0.02,0.0,0.589513801690783,0.520850442848255,0.40604503380610324,0.42944344198647655
60,40,2.0,15,0.04,0.03434924917461345,0.8857824458837336,0.8360507152043468,0.7386427713515922,0.7838996565515324
60,40,2.0,15,0.06,0.0028802482778397054,0.9189009063917852,0.9090043350845194,0.8178787227386033,0.862053611117547
60,40,2.0,15,0.08,0.07011386338730725,0.9331484810212305,0.9244396627523872,0.8343932557487466,0.8941908099883338
60,40,2.0,15,0.15,0.06400586418299628,0.8518568518880758,0.8439067060484393,0.7617047303135531,0.8162929950336415
60,40,2.0,20,0.0,0.0,0.47003827983016955,0.4158481856077706,0.29980882954195487,0.32496988914752467
60,40,2.0,20,0.02,0.0,0.48243963517240723,0.4268198050256469,0.30771889982649975,0.333543801621828
60,40,2.0,20,0.04,0.0,0.7814198740920445,0.7454849322392078,0.6440710368781665,0.692237379555248
60,40,2.0,20,0.06,0.0,0.8183233183923508,0.8226293468072494,0.7276752804452105,0.7746864417930002
60,40,2.0,20,0.08,0.022906657138847243,0.8359031779303968,0.8410502831700014,0.7472489196261655,0.8101403649529991
60,40,2.0,20,0.15,0.02091113390255078,0.7630831149783986,0.7677818279430738,0.6821520103133899,0.7395646404750721
60,40,2.0,25,0.0,0.0,0.3184854684370957,0.25562253879506924,0.1833933760659465,0.1631524677486946
60,40,2.0,25,0.02,0.0,0.32688829781272033,0.2623668106408219,0.18823197437078834,0.16745703572612827
60,40,2.0,25,0.04,0.0,0.6162279059350226,0.5707473248820556,0.5150829945442112,0.515001075989008
60,40,2.0,25,0.06,0.0,0.6562754025137154,0.6505207028770899,0.6000656633032919,0.6000672048571845
60,40,2.0,25,0.08,0.0,0.6772738988296818,0.6726004833209198,0.6221791914027714,0.6389388970863119
60,40,2.0,25,0.15,0.0,0.6182728933895123,0.6140066044721233,0.5679777849700858,0.5832774617230636
60,40,2.0,30,0.0,0.0,0.17128004493938173,0.1414554724478506,0.026292948592649818,0.04241291347388473
60,40,2.0,30,0.02,0.0,0.1757990485854208,0.14518759311588456,0.026986654217224536,0.04353192363467003
60,40,2.0,30,0.04,0.0,0.45572284007493064,0.44464575304521897,0.3433576091830059,0.38116970352963303
60,40,2.0,30,0.06,0.0,0.4988152299706556,0.5258339094729856,0.43085475854245486,0.46777465465468565
60,40,2.0,30,0.08,0.0,0.5231288788997176,0.5503683334563781,0.45659187800814244,0.5089968002324724
60,40,2.0,30,0.15,0.0,0.4775562828153141,0.5024227606349817,0.41681568122149665,0.4646553262269996
60,55,0.5,10,0.0,0.0,0.10924962957529656,0.1321836064908744,0.08335273264262495,0.006573207122355715
60,55,0.5,10,0.02,0.0,0.11213204050973469,0.13567110090326262,0.08555188726601737,0.006746632736337354
60,55,0.5,10,0.04,0.0,0.4037239209497049,0.4492123712936863,0.41877346925681247,0.35972934428411174
60,55,0.5,10,0.06,0.0,0.4508104132273939,0.534773939813547,0.5090024765797306,0.4515597599394202
60,55,0.5,10,0.08,0.0,0.4781586731324104,0.5609235592566911,0.5345157071153978,0.4957804995434905
60,55,0.5,10,0.15,0.0,0.4365036757621032,0.5120584634241209,0.48795114261960654,0.4525903692266117
60,55,0.5,15,0.0,0.0,0.07412208791883688,0.11394775901127761,0.06388259972871001,0.0
60,55,0.5,15,0.02,0.0,0.07607770385573762,0.11695412404706193,0.0655680599421051,0.0
60,55,0.5,15,0.04,0.0,0.3724111211319211,0.4361150190637374,0.4047900823464615,0.34139200735385977
60,55,0.5,15,0.06,0.0,0.4214359089336381,0.5239285611258813,0.4973704637716378,0.43568736743561914
60,55,0.5,15,0.08,0.0,0.45030721039223853,0.5511438496391847,0.5239439665388332,0.481417229725394
60,55,0.5,15,0.15,0.0,0.41107850511360705,0.5031307173937799,0.4783003637460717,0.4394783618034375
60,55,0.5,20,0.0,0.0,0.0,0.00964546438909446,0.0,0.0
60,55,0.5,20,0.02,0.0,0.0,0.009899947558811297,0.0,0.0
60,55,0.5,20,0.04,0.0,0.2520158475213834,0.33247038078628544,0.2983417790378966,0.23580792590020258
60,55,0.5,20,0.06,0.0,0.3052911949856776,0.42490123616871833,0.3956896792880682,0.3348502719182702
60,55,0.5,20,0.08,0.0,0.3379311567714887,0.4554644752540072,0.4256532182186555,0.3842950351915769
60,55,0.5,20,0.15,0.0,0.3084921394794671,0.41578649264062917,0.3885722560154272,0.3508170087961362
60,55,0.5,25,0.0,0.0,0.0,0.0,0.0,0.0
60,55,0.5,25,0.02,0.0,0.0,0.0,0.0,0.0
60,55,0.5,25,0.04,0.0,0.08978660196080232,0.1579477764026712,0.17039048945437604,0.059455253286439726
60,55,0.5,25,0.06,0.0,0.14607639627347144,0.25291174842395464,0.26899623121813904,0.16099794052858105
60,55,0.5,25,0.08,0.0,0.1820259535684514,0.28709366147015136,0.30144020938252614,0.2137888337608331
60,55,0.5,25,0.15,0.0,0.16616868475106666,0.2620833743300531,0.27518011658345937,0.19516452804706158
60,55,0.5,30,0.0,0.0,0.0,0.0,0.0,0.0
60,55,0.5,30,0.02,0.0,0.0,0.0,0.0,0.0
60,55,0.5,30,0.04,0.0,0.0,0.034251406245278226,0.0,0.0
60,55,0.5,30,0.06,0.0,0.0,0.13047975669089207,0.09854696386113881,0.03134600736728543
60,55,0.5,30,0.08,0.0,0.030620983615223425,0.16702196302401756,0.1346111613868764,0.08636855446273158
60,55,0.5,30,0.15,0.0,0.027953423527700947,0.15247177326176145,0.12288445247485572,0.07884452089151753
60,55,0.75,10,0.0,0.0,0.2259225122601983,0.19771603507014465,0.16739677761130597,0.09138647647731166
60,55,0.75,10,0.02,0.0,0.2318831871127885,0.20293251830771492,0.17181332624441065,0.09379759109690093
60,55,0.75,10,0.04,0.0,0.5304173694729142,0.5223107453246738,0.5116484160661832,0.4537008793853372
60,55,0.75,10,0.06,0.0,0.5750002696132079,0.6072659884542859,0.6008136477663535,0.5444404273639791
60,55,0.75,10,0.08,0.0,0.5996664679713753,0.6320750423014737,0.6244726820781928,0.5870053067159738
60,55,0.75,10,0.15,0.0,0.5474262670715462,0.5770115545841954,0.570071477224132,0.5358680882954616
60,55,0.75,15,0.0,0.0,0.19260751621635447,0.18049953196891505,0.14930754387983808,0.06873084922540212
60,55,0.75,15,0.02,0.0,0.1976892177557733,0.1852617799200441,0.15324683135152062,0.07054422426484343
60,55,0.75,15,0.04,0.0,0.5010886298279751,0.5103673579066659,0.49920530778558647,0.43688364904103527
60,55,0.75,15,0.06,0.0,0.5475736783224218,0.5975700131922747,0.5907084260491114,0.5300751940624263
60,55,0.75,15,0.08,0.0,0.5737229109414119,0.6234255029811944,0.6153984627783966,0.5741248849901968
60,55,0.75,15,0.15,0.0,0.5237427941111594,0.5691155235822212,0.561787762420698,0.5241097500187113
60,55,0.75,20,0.0,0.0,0.07355959308872395,0.07611341573851116,0.042204122857775084,0.0
60,55,0.75,20,0.02,0.0,0.07550036832315692,0.07812157029822779,0.04331762434674695,0.0
60,55,0.75,20,0.04,0.0,0.3815571300420874,0.40671611958785653,0.3931194342312711,0.3317109421242261
60,55,0.75,20,0.06,0.0,0.43228568152848207,0.49856185480509846,0.4894073758798731,0.42966554154072994
60,55,0.75,20,0.08,0.0,0.46219181543473875,0.5277753187520237,0.5174878614155279,0.4774338616240176
60,55,0.75,20,0.15,0.0,0.42192777770349893,0.48179794607211407,0.47240668498252064,0.4358420065183289
60,55,0.75,25,0.0,0.0,0.0,0.0,0.0,0.0
60,55,0.75,25,0.02,0.0,0.0,0.0,0.0,0.0
60,55,0.75,25,0.04,0.0,0.21476004119406442,0.22855446273070543,0.26173368003727693,0.15125183934207628
60,55,0.75,25,0.06,0.0,0.26860531118237996,0.3230012613211063,0.3593411268523884,0.2517856948016505
60,55,0.75,25,0.08,0.0,0.3019255670712783,0.35591468003956334,0.38997857727393165,0.302988958356418
60,55,0.75,25,0.15,0.0,0.2756231921295313,0.32490902042457565,0.35600542667852325,0.27659394562793155
60,55,0.75,30,0.0,0.0,0.0,0.0,0.0,0.0
60,55,0.75,30,0.02,0.0,0.0,0.0,0.0,0.0
60,55,0.75,30,0.04,0.0,0.05277373339848501,0.10191131285883492,0.08484221453588936,0.016747713917510287
60,55,0.75,30,0.06,0.0,0.10963470529337242,0.19767313647558507,0.18497871596922136,0.1187193644802194
60,55,0.75,30,0.08,0.0,0.1462633613487093,0.23301098218130253,0.21932699796507368,0.1722276195265174
60,55,0.75,30,0.15,0.0,0.13352156605207033,0.21271213078445617,0.20022023270735478,0.15722393677097135
60,55,1.0,10,0.0,0.0,0.37512882630575783,0.30535514226907134,0.2580199626832812,0.21540830212423823
60,55,1.0,10,0.02,0.0,0.38502611781104756,0.31341154487998646,0.26482748747419615,0.2210915730681965
60,55,1.0,10,0.04,0.0,0.6914331789230116,0.6398202106050573,0.6115110956278952,0.589037798550491
60,55,1.0,10,0.06,0.0,0.7326400837070498,0.7230441987772768,0.6994502758476419,0.6776405224118488
60,55,1.0,10,0.08,0.039342355317857854,0.7537710604016606,0.7454068471449095,0.7210862918481734,0.7175226996252416
60,55,1.0,10,0.15,0.03591502920333986,0.6881059720050039,0.6804704107644063,0.658268551046855,0.6550154026850087
60,55,1.0,15,0.0,0.0,0.34426163646099156,0.2899848832485216,0.24143776334654607,0.1948782394622268
60,55,1.0,15,0.02,0.0,0.35334453687071055,0.2976357613479442,0.24780778813979074,0.2000198511133425
60,55,1.0,15,0.04,0.0,0.6647587011389388,0.6299029467619935,0.6007422660611138,0.5745521654593259
60,55,1.0,15,0.06,0.0,0.7078145739106346,0.7153476954052272,0.6910027429110556,0.6655734216301347
60,55,1.0,15,0.08,0.011031236830503869,0.7303719194552512,0.7387158303057217,0.7136372574834728,0.7068959560740848
60,55,1.0,15,0.15,0.01007024591477212,0.6667452572324916,0.674362284719663,0.6514684424976093,0.6453144124445306
60,55,1.0,20,0.0,0.0,0.2265947963775259,0.18634343269066256,0.13470915865341815,0.08929160947427284
60,55,1.0,20,0.02,0.0,0.23257320858172867,0.19125986444453177,0.1382632865106381,0.0916474537229128
60,55,1.0,20,0.04,0.0,0.5467592001024207,0.5271189603320167,0.4951396302537737,0.470603405017345
60,55,1.0,20,0.06,0.0,0.594034540652244,0.617210428184523,0.5901994785124232,0.5663832456517128
60,55,1.0,20,0.08,0.0,0.6203204223364549,0.6439248046425374,0.6162219533005346,0.6114079706644515
60,55,1.0,20,0.15,0.0,0.5662809433661739,0.5878290198095225,0.5625395142136543,0.5581449037344054
60,55,1.0,25,0.0,0.0,0.0689021238008107,0.018968070546591522,0.013063530793057965,0.0
60,55,1.0,25,0.02,0.0,0.07072001769959532,0.019468518686888682,0.013408195247723052,0.0
60,55,1.0,25,0.04,0.0,0.374677497606,0.34439661924584797,0.36015834144911707,0.28517687282757975
60,55,1.0,25,0.06,0.0,0.4251900547395159,0.4371804527441717,0.4566031500189772,0.38363666756271464
60,55,1.0,25,0.08,0.0,0.45501240679507376,0.4676990176037987,0.4852630249299847,0.43220652916705377
60,55,1.0,25,0.15,0.0,0.41537380631888576,0.4269552175995909,0.4429891289134741,0.3945546724769887
60,55,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0
60,55,1.0,30,0.02,0.0,0.0,0.0,0.0,0.0
60,55,1.0,30,0.04,0.0,0.20752955800485945,0.2139110343118366,0.17911118332458126,0.14635793646901457
60,55,1.0,30,0.06,0.0,0.26117545062674064,0.30808323372885094,0.27816542244804376,0.24633997055341406
60,55,1.0,30,0.08,0.0,0.2944256646722391,0.34111266402225804,0.31063077912959935,0.2973089470531033
60,55,1.0,30,0.15,0.0,0.26877664693647596,0.31139648836501543,0.28357004591516877,0.2714087509392399
