iteration,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mae
0,,sqrt,1,2,200,0.06530016129032268
1,,sqrt,1,2,200,0.0687862419354842
2,,sqrt,1,2,200,0.06290733870967762
3,,sqrt,1,2,200,0.06879158064516144
4,,sqrt,1,2,200,0.053040145161290485
5,,sqrt,1,2,200,0.05729145161290357
6,,sqrt,1,2,200,0.04661582258064519
7,,sqrt,1,2,200,0.06534191935483881
8,,sqrt,1,2,50,0.05954167741935486
9,20.0,sqrt,1,2,200,0.07796448387096815
