krr_sigma,krr_lambda,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,meta_coef_krr,meta_coef_xgb,meta_intercept
40.96,0.001,0.1,5,200,0.5194929276616266,0.44774099186327937,0.02901613774107592
40.96,0.001,0.1,3,200,0.05082937252235086,0.9978577149812186,-0.044626981434499724
20.48,0.001,0.1,3,200,0.4735997770952873,0.6078289022232061,-0.06623936665607166
20.48,0.001,0.1,5,200,0.4667783233512579,0.48600943530670654,0.034043567086185944
20.48,0.001,0.1,5,100,0.6348450302704467,0.3258144163591601,0.03981492403408815
10.24,0.001,0.1,3,200,0.5171343135168218,0.5740746543497419,-0.05449768336963223
40.96,0.001,0.1,3,200,0.3670609805603812,0.5815454860113012,0.04789058558810955
40.96,0.001,0.1,3,200,0.3459520506939491,0.7111058764742109,-0.041075514590089846
20.48,0.001,0.1,5,200,0.5885698401711996,0.42099795167091075,-0.027686778569076975
40.96,0.001,0.1,3,200,0.15499763084831117,0.8604610356858174,-0.0229197355081312
40.96,0.001,0.1,3,200,-0.38309105789362574,1.3894997837134,-0.005167427985355855
10.24,0.001,0.1,5,200,0.534880176862809,0.4007911536734292,0.04885682930517188
20.48,0.001,0.1,3,200,0.6250780718240089,0.37180500539460537,-0.0007948347007958878
5.12,0.001,0.1,5,200,0.18459901715485572,0.8062078853996786,0.003619902824925747
81.92,0.001,0.1,3,200,-0.08240230454669105,1.043518204584936,0.028651666485368543
5.12,0.001,0.1,5,100,0.7528532347352114,0.2318703394580875,0.002626846196277288
1310.72,1e-07,0.1,5,200,0.07116700990438783,0.8923594005697317,0.023693372519623557
40.96,0.001,0.1,3,200,-0.12917545365414906,1.1491740367001908,-0.027092841417249547
327.68,1e-05,0.1,3,200,0.6034777398024247,0.36770689241483734,0.03342474429024134
20.48,0.001,0.1,3,200,0.2496088707910718,0.8045195027892276,-0.035002935128789936
20.48,0.001,0.1,5,200,0.3090294150088225,0.6189561678035961,0.06519130021591757
10.24,0.001,0.1,3,200,0.37264667557689124,0.585290980557348,0.028928652346260075
20.48,0.001,0.1,3,200,0.3514183714416466,0.6795965907214441,-0.01828540247575583
40.96,0.001,0.1,3,200,0.24280374420359205,0.7855170230996809,-0.018478191501351438
40.96,0.001,0.1,5,200,0.7216304584365413,0.3186907944093319,-0.012927650343783847
20.48,0.001,0.1,3,200,0.3528743042170654,0.6896415479459345,-0.05090461639542543
40.96,0.001,0.1,3,200,0.4730786889027428,0.566824137477201,-0.038518848337523726
81.92,0.001,0.1,3,200,0.04222609313709462,0.9490828310821093,0.007928626057457033
20.48,0.001,0.1,3,200,0.5962000175558395,0.39284577403574866,0.018126131790382805
40.96,0.001,0.1,3,200,0.3556369538839569,0.6810066238851284,-0.03235503669107109
40.96,0.001,0.1,3,200,0.31264135109831054,0.6888051423395909,-0.003536816166558765
20.48,0.001,0.1,3,200,0.281859232766829,0.7879149840231235,-0.0399263753939435
20.48,0.001,0.1,5,100,0.4803469384353948,0.46990617841981674,0.03908689525468256
40.96,0.001,0.1,3,200,0.9387639838494141,0.058407163245670114,-0.0005014061224504207
1310.72,1e-05,0.1,3,200,0.17837027704424127,0.692007141077073,0.09956803618916954
5.12,0.001,0.1,5,200,0.5195194371307802,0.5111149207367512,-0.023479047189121305
20.48,0.001,0.1,3,200,0.5027531856042698,0.5140334818171097,-0.01016678015321415
20.48,0.001,0.1,3,200,0.06907738195863333,0.9453717223572928,-0.014281506795633447
81.92,0.001,0.1,5,200,0.47066791791684365,0.5913255613870608,-0.05211361554507443
40.96,0.001,0.1,3,200,0.467299142853063,0.5277500182730882,-0.0027331614159059603
20.48,0.001,0.1,5,100,0.11945542464051227,0.8649637834846576,0.018691469729266053
40.96,0.001,0.1,3,200,0.2365470332534964,0.7851408813127091,-0.01011633979495663
20.48,0.001,0.1,5,200,-0.44014214582273753,1.4528752920468073,-0.023222407820605695
163.84,1e-05,0.1,5,200,0.1484046814530727,0.8077167325215929,0.021306659278438445
40.96,0.001,0.1,5,200,0.49292268608566603,0.5405985103129152,-0.03868906226550117
327.68,1e-05,0.1,5,200,0.5041895374619771,0.45113357025822104,0.03438866206227931
20.48,0.001,0.1,3,200,0.635946229927208,0.2968860631540657,0.05719237515722986
40.96,0.001,0.1,3,200,0.5879679686027729,0.4443758458400758,-0.04886918671063811
40.96,0.001,0.1,3,200,0.35571340236673693,0.7182788868965272,-0.05406426163065281
20.48,0.001,0.1,5,200,0.34126622580228855,0.680604244334069,-0.011066329182266466
40.96,0.001,0.1,3,200,0.11846927385407281,0.912777769693859,-0.025137170521641994
20.48,0.001,0.1,3,200,0.275935029146307,0.6596032776830342,0.05897341160883718
40.96,0.001,0.1,5,200,0.7503330956780428,0.17500543560618614,0.04485731203199328
2.56,0.1,0.1,3,200,0.2811041931295298,0.7821996917772374,-0.04014680628431255
2.56,0.001,0.1,5,100,0.7506471995073641,0.21992235779578256,0.03467719390515034
40.96,0.001,0.1,5,200,0.32344604393473214,0.6526620754131196,0.0251850570872153
40.96,0.001,0.1,3,200,0.7101170748756859,0.26807836807411806,0.012923883797430036
20.48,0.001,0.1,5,100,0.5507858400920543,0.3489038316900971,0.07376905178353577
10.24,0.001,0.1,3,200,0.38041488254155276,0.6392588214434748,-0.014325237590036122
1310.72,1e-05,0.1,3,200,0.143392139084158,0.8943528453885822,-0.026282076846935176
5242.88,1e-07,0.1,3,200,0.08107702225394668,0.8907462359376063,0.015489368362940015
81.92,0.001,0.1,3,200,-0.024663378921568342,0.9643528990230738,0.04323843353945778
2.56,0.001,0.1,5,200,0.4892283354989446,0.4538251225383609,0.04404488675495155
40.96,0.001,0.1,5,200,0.24193999917716022,0.7874768070085066,-0.02486420644545717
2.56,0.1,0.1,3,200,0.4591529061497391,0.5988473762949401,-0.05074234033955061
81.92,0.001,0.1,3,200,0.37798962437100553,0.6483499539172815,-0.012406523799424862
20.48,0.001,0.1,5,100,0.447634990028184,0.6051851206713963,-0.0469548862903868
655.36,1e-05,0.1,3,200,0.4092588573647898,0.550015168440123,0.0392348256389643
20.48,0.001,0.1,3,200,0.7549546314609369,0.2108942003391502,0.038107308914579585
5242.88,1e-07,0.1,5,200,0.5080983769890836,0.46418897281919397,0.019694987117673035
20.48,0.001,0.1,5,200,0.3473223436649316,0.6941902189168682,-0.03742085709642318
40.96,0.001,0.1,3,200,0.43972372396839393,0.5486832338373445,0.01675907598467752
20.48,0.001,0.1,5,100,0.376272223432982,0.6321941071614638,-0.0030466415627719012
81.92,0.001,0.1,5,200,0.28709205303055474,0.7328596254895022,-0.013683347021931414
20.48,0.001,0.1,5,200,0.31188325709603065,0.6233709450835058,0.05874471352667854
40.96,0.001,0.1,3,200,0.41735570289324614,0.567473709012008,0.011191501844064367
81.92,0.001,0.1,3,200,0.43435919372704035,0.6226103080107466,-0.038649242635207415
20.48,0.001,0.1,5,200,0.549624342641304,0.46437494951544495,-0.018122220039334946
5242.88,1e-07,0.1,5,200,0.29289045836781535,0.6663276909060792,0.028499369880461534
2.56,0.1,0.1,5,200,0.33329064659379415,0.6436638421679743,0.020403071850339516
5.12,1e-09,0.1,3,200,0.4798078073939011,0.45414079868313567,0.04130568205456364
40.96,0.001,0.1,5,100,0.20195700409148884,0.8730117960221689,-0.05352822780937305
40.96,0.001,0.1,3,200,0.17539793619308097,0.7907785320587473,0.03823094204677546
20.48,0.001,0.1,3,200,0.5157863706980038,0.49888775150405595,-0.015309901765693579
40.96,0.001,0.1,5,200,0.4064888155733171,0.6273218466395426,-0.013807471789543557
20.48,0.001,0.1,3,200,0.3840574712867528,0.5833196399363392,0.031200087342423966
40.96,0.001,0.1,3,200,0.29289066014984194,0.7672006086371082,-0.05723567343571567
40.96,0.001,0.1,5,200,0.096635696102885,0.9345598351141732,-0.025513663894110805
2.56,0.1,0.1,3,200,-0.603898032049433,1.6321404412103182,-0.015349524958200633
20.48,0.001,0.1,3,200,0.6484733837964591,0.3151151338220291,0.010032261400092501
40.96,0.001,0.1,3,200,0.4878479804449958,0.5093839380791224,0.009055347341482167
2.56,0.001,0.1,3,200,0.36261182198288233,0.6532769342513374,-0.018940635261898597
20.48,0.001,0.1,5,200,0.3133226138068104,0.7394493886555292,-0.050532803251831404
5.12,0.001,0.1,3,200,0.10746951889533149,0.9394055855385243,-0.026721384063881692
2.56,0.001,0.1,3,200,0.3532410409761964,0.6377274126503518,0.01578913308763419
